Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Narsipatnam,34,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desami,UMA SANKARA GANESH PETLA,"Yuvajana Sramika Rythu Congress Party
i",24676,19/19,Result Declared
Nellimarla,17,LOKAM NAGA MADHAVI,Janasena Partyi,APPALANAIDU BADDUKONDA,"Yuvajana Sramika Rythu Congress Party
i",39829,18/18,Result Declared
Nellore City,117,NARAYANA PONGURU,Telugu Desami,KHALEEL AHAMAD MD,"Yuvajana Sramika Rythu Congress Party
i",72489,18/18,Result Declared
Nellore Rural,118,KOTAMREDDY SRIDHAR REDDY,Telugu Desami,ADALA PRABHAKARA REDDY,"Yuvajana Sramika Rythu Congress Party
i",34480,24/24,Result Declared
Nidadavole,55,KANDULA DURGESH,Janasena Partyi,G.SRINIVAS NAIDU,"Yuvajana Sramika Rythu Congress Party
i",33304,16/16,Result Declared
Nuzvid,70,KOLUSU PARTHA SARATHY,Telugu Desami,MEKA VENKATA PRATAP APPARAO,"Yuvajana Sramika Rythu Congress Party
i",12378,21/21,Result Declared
Ongole,108,DAMACHARLA JANARDHANA RAO,Telugu Desami,BALINENI SRINIVASA REDDY,"Yuvajana Sramika Rythu Congress Party
i",34026,19/19,Result Declared
Paderu,29,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Partyi,ESWARI GIDDI,"Telugu Desam
i",19338,23/23,Result Declared
Palacole,57,DR.NIMMALA RAMANAIDU,Telugu Desami,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),"Yuvajana Sramika Rythu Congress Party
i",67945,14/14,Result Declared
Palakonda,10,JAYAKRISHNA NIMMAKA,Janasena Partyi,VISWASARAYI KALAVATHI,"Yuvajana Sramika Rythu Congress Party
i",13291,21/21,Result Declared
Palamaner,174,AMARANATHA REDDY. N,Telugu Desami,VENKATE GOWDA. N,"Yuvajana Sramika Rythu Congress Party
i",20122,21/21,Result Declared
Palasa,2,GOUTHU SIREESHA,Telugu Desami,APPALARAJU SEEDIRI,"Yuvajana Sramika Rythu Congress Party
i",40350,21/21,Result Declared
Pamarru (SC),77,KUMAR RAJA VARLA,Telugu Desami,ANIL KUMAR KAILE,"Yuvajana Sramika Rythu Congress Party
i",29690,17/17,Result Declared
Panyam,138,GOWRU CHARITHA REDDY,Telugu Desami,KATASANI RAMABHUPAL REDDY,"Yuvajana Sramika Rythu Congress Party
i",40591,26/26,Result Declared
Parchur,104,YELURI SAMBASIVA RAO,Telugu Desami,YADAM BALAJI,"Yuvajana Sramika Rythu Congress Party
i",24013,22/22,Result Declared
Parvathipuram,12,BONELA VIJAYA CHANDRA,Telugu Desami,ALAJANGI JOGARAO,"Yuvajana Sramika Rythu Congress Party
i",24414,17/17,Result Declared
Pathapatnam,4,MAMIDI GOVINDA RAO,Telugu Desami,REDDY SHANTHI,"Yuvajana Sramika Rythu Congress Party
i",26527,24/24,Result Declared
Pattikonda,142,K.E. SHYAM KUMAR,Telugu Desami,KANGATI SREEDEVI,"Yuvajana Sramika Rythu Congress Party
i",14211,19/19,Result Declared
Payakaraopet,33,ANITHA VANGALAPUDI,Telugu Desami,JOGULU KAMBALA,"Yuvajana Sramika Rythu Congress Party
i",43727,21/21,Result Declared
Pedakurapadu,85,BHASHYAM PRAVEEN,Telugu Desami,NAMBURU SANKARA RAO,"Yuvajana Sramika Rythu Congress Party
i",21089,20/20,Result Declared
Pedana,74,KAGITHA KRISHNAPRASAD,Telugu Desami,UPPALA RAMESH(RAMU),"Yuvajana Sramika Rythu Congress Party
i",38123,17/17,Result Declared
Peddapuram,39,CHINA RAJAPPA NIMMAKAYALA,Telugu Desami,DAVULURI DORABABU,"Yuvajana Sramika Rythu Congress Party
i",40451,15/15,Result Declared
Penamaluru,78,BODE PRASAD,Telugu Desami,JOGI RAMESH,"Yuvajana Sramika Rythu Congress Party
i",59915,23/23,Result Declared
