Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Cuttack Sadar,93,PRAKASH CHANDRA SETHI,Bharatiya Janata Partyi,CHANDRA SARATHI BEHERA,"Biju Janata Dal
i",3809,26/26,Result Declared
Dabugam,76,MANOHAR RANDHARI,Biju Janata Dali,LIPIKA MAJHI,"Indian National Congress
i",21455,25/25,Result Declared
Daspalla,121,RAMESH CHANDRA BEHERA,Biju Janata Dali,RAGHAB MALIK,"Bharatiya Janata Party
i",6296,18/18,Result Declared
Deogarh,19,ROMANCHA RANJAN BISWAL,Biju Janata Dali,SUBASH CHANDRA PANIGRAHI,"Bharatiya Janata Party
i",15792,27/27,Result Declared
Dhamnagar,46,SURYABANSHI SURAJ STHITAPRAJNA,Bharatiya Janata Partyi,SANJAYA KUMAR DAS,"Biju Janata Dal
i",8095,19/19,Result Declared
Dharamgarh,79,SUDHIR RANJAN PATTJOSHI,Bharatiya Janata Partyi,PUSPENDRA SINGH DEO,"Biju Janata Dal
i",18927,23/23,Result Declared
Dharmasala,51,HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,Independenti,PRANAB KUMAR BALABANTARAY,"Biju Janata Dal
i",4150,22/22,Result Declared
Dhenkanal,55,KRUSHNA CHANDRA PATRA,Bharatiya Janata Partyi,SUDHIR KUMAR SAMAL,"Biju Janata Dal
i",20439,28/28,Result Declared
Digapahandi,134,SIDHANT MOHAPATRA,Bharatiya Janata Partyi,BIPLAB PATRO,"Biju Janata Dal
i",16847,20/20,Result Declared
Ekamra-Bhubaneswar,114,BABU SINGH,Bharatiya Janata Partyi,ASHOK CHANDRA PANDA,"Biju Janata Dal
i",5023,21/21,Result Declared
G. Udayagiri,83,PRAFULLA CHANDRA PRADHAN,Indian National Congressi,MANAGOBINDA PRADHAN,"Bharatiya Janata Party
i",7857,23/23,Result Declared
Ghasipura,21,BADRI NARAYAN PATRA,Biju Janata Dali,SOUMYA RANJAN PATNAIK,"Independent
i",13811,22/22,Result Declared
